name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
delhi india,2024-11-01T00:00:00,75.2,75.2,60.8,60.93,0,0,,0,0,10.1,3.4,250,1012,0,1.2,0,0,0,10,Clear,clear-night,"VIDP,42181099999"
delhi india,2024-11-01T01:00:00,75.2,75.2,59,57.15,0,0,,0,0,10.5,3.4,230,1012,0,1.2,0,0,0,10,Clear,clear-night,"VIDP,42181099999"
delhi india,2024-11-01T02:00:00,71.1,71.1,63.5,77.11,0,0,,0,0,10.7,3.4,260,1010.7,0,0.7,0,0,0,10,Clear,fog,"42182099999,VIDP,42181099999"
delhi india,2024-11-01T03:00:00,69.8,69.8,59,68.57,0,0,,0,0,10.5,2.2,230,1011,0,1.2,0,0,0,10,Clear,clear-night,"VIDP,42181099999"
delhi india,2024-11-01T04:00:00,68,68,55.4,64.07,0,0,,0,0,10.1,2.2,230,1011,0,1.2,0,0,0,10,Clear,clear-night,"VIDP,42181099999"
delhi india,2024-11-01T05:00:00,66.8,66.8,60.2,79.44,0,0,,0,0,10.3,2.6,260,1010.9,0,0.7,0,0,0,10,Clear,fog,"42182099999,VIDP,42181099999"
delhi india,2024-11-01T06:00:00,64.4,64.4,57.2,77.46,0,0,,0,0,10.5,2.2,240,1012,0,1.2,0,0,0,10,Clear,clear-night,"VIDP,42181099999"
delhi india,2024-11-01T07:00:00,64.4,64.4,57.2,77.46,0,0,,0,0,10.3,0,0,1013,0,1.2,0,0,0,10,Clear,clear-day,"VIDP,42181099999"
delhi india,2024-11-01T08:00:00,70.9,70.9,59.8,68.1,0,0,,0,0,10.7,5.5,245,1013.2,0,1.2,49.6,0.2,0,10,Clear,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
delhi india,2024-11-01T09:00:00,77,77,57.2,50.46,0,0,,0,0,12.3,5.8,260,1015,0,1.2,229.6,0.8,2,10,Clear,clear-day,"VIDP,42181099999"
delhi india,2024-11-01T10:00:00,80.6,81.1,59,47.82,0,0,,0,0,13.9,6.9,260,1015,0,1.9,426.6,1.5,4,10,Clear,clear-day,"VIDP,42181099999"
delhi india,2024-11-01T11:00:00,85.6,88.1,66.5,53.13,0,0,,0,0,15,9.1,254,1012.5,0,1.3,589.6,2.1,6,10,Clear,clear-day,"42182099999,VIDP,42139099999,42181099999"
delhi india,2024-11-01T12:00:00,87.8,87.1,59,37.94,0,0,,0,0,16.3,9.2,270,1014,0,1.9,697,2.5,7,10,Clear,clear-day,"VIDP,42181099999"
delhi india,2024-11-01T13:00:00,89.6,87.3,53.6,29.48,0,0,,0,0,19.5,9.2,260,1013,0,2.5,734.1,2.6,7,10,Clear,clear-day,"VIDP,42181099999"
delhi india,2024-11-01T14:00:00,90.7,92.3,64.2,41.57,0,0,,0,0,19.5,6.8,276,1010.7,0,1.6,703.7,2.5,7,10,Clear,clear-day,"42182099999,VIDP,42139099999,42181099999"
delhi india,2024-11-01T15:00:00,89.6,86.2,46.4,22.56,0,0,,0,0,19.2,10.3,290,1012,0,2.5,606.7,2.2,6,10,Clear,clear-day,"VIDP,42181099999"
delhi india,2024-11-01T16:00:00,87.8,85.1,50,27.33,0,0,,0,0,18.1,6.9,280,1012,0,2.5,452,1.6,5,10,Clear,clear-day,"VIDP,42181099999"
delhi india,2024-11-01T17:00:00,85.9,88.2,66,51.57,0,0,,0,0,15.7,1.3,264,1010.9,0,1.6,259,0.9,3,10,Clear,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
delhi india,2024-11-01T18:00:00,82.4,81.2,51.8,34.73,0,0,,0,0,8.1,4.7,290,1013,0,1.9,70.7,0.3,0,10,Clear,clear-night,"VIDP,42181099999"
delhi india,2024-11-01T19:00:00,78.8,78.8,53.6,41.73,0,0,,0,0,7.2,2.2,315.3,1014,0,1.9,0,0,0,10,Clear,clear-night,"VIDP,42181099999"
delhi india,2024-11-01T20:00:00,72.2,72.2,63.3,73.56,0,0,,0,0,5.6,0,0,1013.2,0,1.3,0,0,0,10,Clear,clear-night,"42182099999,VIDP,42181099999"
delhi india,2024-11-01T21:00:00,75.2,75.2,53.6,47.01,0,0,,0,0,3.8,0,0,1014,0,1.9,0,0,0,10,Clear,clear-night,"VIDP,42181099999"
delhi india,2024-11-01T22:00:00,73.4,73.4,55.4,53.32,0,0,,0,0,2.5,0,0,1014,0,1.9,0,0,0,10,Clear,clear-night,"VIDP,42181099999"
delhi india,2024-11-01T23:00:00,69.5,69.5,62.8,79.09,0,0,,0,0,2,0,0,1013.4,0,1.3,0,0,0,10,Clear,clear-night,"42182099999,VIDP,42181099999"
delhi india,2024-11-02T00:00:00,71.6,71.6,57.2,60.47,0,0,,0,0,2.9,0,0,1014,0,1.9,0,0,0,10,Clear,clear-night,"VIDP,42181099999"
delhi india,2024-11-02T01:00:00,69.8,69.8,59,68.57,0,0,,0,0,3.6,0,0,1013,0,1.9,0,0,0,10,Clear,clear-night,"VIDP,42181099999"
delhi india,2024-11-02T02:00:00,67.9,67.9,63.1,84.72,0,0,,0,0,4.9,0,0,1012.4,0,1.3,0,0,0,10,Clear,clear-night,"42182099999,VIDP,42181099999"
delhi india,2024-11-02T03:00:00,69.8,69.8,60.8,73.11,0,0,,0,0,5.8,2.2,254.2,1013,0,1.2,0,0,0,10,Clear,clear-night,"VIDP,42181099999"
delhi india,2024-11-02T04:00:00,68,68,59,72.94,0,0,,0,0,6.3,2.2,276.3,1013,0,1.2,0,0,0,10,Clear,clear-night,"VIDP,42181099999"
delhi india,2024-11-02T05:00:00,65.2,65.2,61.6,88.16,0,0,,0,0,6.5,0.6,281.2,1012.6,0,1.2,0,0,0,10,Clear,clear-night,"42182099999,VIDP,42181099999"
