name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"delhi, india",2024-10-01T00:00:00,82.4,94.1,80.6,94.32,0,0,,0,0,6.9,3.4,250,1007,27.2,1.9,0,0,0,3,Partially cloudy,partly-cloudy-night,"VIDP,42181099999"
"delhi, india",2024-10-01T01:00:00,80.6,88.1,78.8,94.27,0,0,,0,0,7.2,3.4,250,1007,27.2,1.9,0,0,0,3,Partially cloudy,partly-cloudy-night,"VIDP,42181099999"
"delhi, india",2024-10-01T02:00:00,81,89,78.5,91.99,0,0,,0,0,7.8,3.4,279,1005,30,1.3,0,0,0,3,Partially cloudy,partly-cloudy-night,"42182099999,VIDP,42181099999"
"delhi, india",2024-10-01T03:00:00,78.8,78.8,77,94.23,0,0,,0,0,8.3,4.7,270,1006,0,1.9,0,0,0,3,Clear,clear-night,"VIDP,42181099999"
"delhi, india",2024-10-01T04:00:00,78.8,78.8,77,94.23,0,0,,0,0,8.3,4.7,260,1006,0,1.2,0,0,0,10,Clear,clear-night,"VIDP,42181099999"
"delhi, india",2024-10-01T05:00:00,79.4,79.4,78,95.36,0,0,,0,0,8.1,2.9,254,1004.9,0,1.2,0,0,0,10,Clear,clear-night,"42182099999,VIDP,42181099999"
"delhi, india",2024-10-01T06:00:00,77,77,77,100,0,0,,0,0,8.3,4.7,250,1007,0,1.2,0,0,0,10,Clear,clear-night,"VIDP,42181099999"
"delhi, india",2024-10-01T07:00:00,78.8,78.8,78.8,100,0,0,,0,0,8.9,5.8,250,1007,0,1.2,1.6,0,0,10,Clear,clear-day,"VIDP,42181099999"
"delhi, india",2024-10-01T08:00:00,82.5,91.8,77.8,85.81,0,0,,0,0,11.6,4,267,1006.6,0,1.4,87.6,0.3,1,10,Clear,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
"delhi, india",2024-10-01T09:00:00,84.2,98.2,80.6,88.99,0,0,,0,0,13,6.9,270,1008,0,1.9,275,1,3,10,Clear,clear-day,"VIDP,42181099999"
