datetime,temp,feelslike,dew,humidity,precip,precipprob,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations,raining
2024-06-01 00:00:00,96.8,95.8,57.2,26.88,0.0,0,0,0,6.7,0.0,0.0,1000.0,0.0,1.9,0.0,0.0,0,,Clear,clear-night,"VIDP,42181099999",False
2024-06-01 01:00:00,95.0,93.2,55.4,26.61,0.0,0,0,0,8.5,0.0,0.0,1000.0,0.0,1.9,0.0,0.0,0,,Clear,clear-night,"VIDP,42181099999",False
2024-06-01 02:00:00,90.7,93.7,66.5,45.11,0.0,0,0,0,8.9,2.6,224.0,997.9,45.6,1.3,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,"42182099999,VIDP,42181099999",False
2024-06-01 03:00:00,95.0,92.7,53.6,24.92,0.0,0,0,0,9.4,9.2,240.0,1000.0,50.0,1.9,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,"VIDP,42181099999",False
2024-06-01 04:00:00,95.0,91.9,50.0,21.82,0.0,0,0,0,9.2,0.0,0.0,1000.0,88.9,1.9,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,"VIDP,42181099999",False
2024-06-01 05:00:00,90.2,91.4,63.6,41.39,0.0,0,0,0,11.4,1.3,309.0,998.8,52.7,1.3,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,"42182099999,VIDP,42181099999",False
2024-06-01 06:00:00,93.2,90.4,51.8,24.66,0.0,0,0,0,11.9,4.7,20.0,1001.0,50.0,1.9,0.1,0.0,0,,Partially cloudy,partly-cloudy-day,"VIDP,42181099999",False
2024-06-01 07:00:00,96.8,94.6,53.6,23.58,0.0,0,0,0,12.3,3.4,20.0,1002.0,50.0,1.9,58.8,0.2,1,,Partially cloudy,partly-cloudy-day,"VIDP,42181099999",False
2024-06-01 08:00:00,99.8,99.9,58.8,25.96,0.0,0,0,0,15.0,8.9,264.0,1000.8,46.8,1.3,233.7,0.8,2,,Partially cloudy,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999",False
2024-06-01 09:00:00,102.2,99.3,50.0,17.54,0.0,0,0,0,19.7,8.1,270.0,1003.0,50.0,2.5,442.6,1.6,4,,Partially cloudy,partly-cloudy-day,"VIDP,42181099999",False
2024-06-01 10:00:00,105.8,103.6,51.8,16.85,0.0,0,0,0,20.8,9.2,260.0,1003.0,50.0,2.5,641.6,2.3,6,,Partially cloudy,partly-cloudy-day,"VIDP,42181099999",False
2024-06-01 11:00:00,106.8,107.8,58.9,21.2,0.0,0,0,0,19.7,9.6,259.0,1000.8,66.7,2.5,805.1,2.9,8,,Partially cloudy,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999",False
2024-06-01 12:00:00,107.6,106.1,53.6,17.07,0.0,0,0,0,19.7,8.1,290.0,1003.0,88.9,2.5,913.8,3.3,9,,Partially cloudy,partly-cloudy-day,"VIDP,42181099999",False
2024-06-01 13:00:00,107.6,106.1,53.6,17.07,0.0,0,0,0,20.8,9.2,290.0,1002.0,50.0,2.5,903.2,3.3,9,,Partially cloudy,partly-cloudy-day,"VIDP,42181099999",False
2024-06-01 14:00:00,110.5,110.5,62.3,21.41,0.0,0,0,0,16.1,6.8,263.0,998.4,61.1,2.6,851.1,3.1,9,,Partially cloudy,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999",False
2024-06-01 15:00:00,96.8,95.8,57.2,26.88,0.0,0,0,0,14.5,8.1,300.0,1002.0,88.9,1.2,758.0,2.7,8,,Partially cloudy,partly-cloudy-day,"VIDP,42181099999",False
2024-06-01 16:00:00,102.2,98.8,48.2,16.4,0.0,0,0,0,20.8,9.2,340.0,1001.0,88.9,1.9,637.7,2.3,6,,Partially cloudy,partly-cloudy-day,"VIDP,42181099999",False
2024-06-01 17:00:00,102.1,102.9,59.7,25.04,0.0,0,0,0,14.5,1.0,74.0,998.7,89.6,2.2,371.5,1.3,4,,Partially cloudy,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999",False
2024-06-01 18:00:00,93.2,92.6,59.0,32.03,0.0,0,0,0,13.4,4.7,190.0,1003.0,88.9,1.9,250.4,0.9,3,,Partially cloudy,partly-cloudy-day,"VIDP,42181099999",False
2024-06-01 19:00:00,93.2,92.6,59.0,32.03,0.0,0,0,0,9.6,3.4,250.0,1003.0,88.9,1.9,118.5,0.4,1,,Partially cloudy,partly-cloudy-day,"VIDP,42181099999",False
2024-06-01 20:00:00,93.3,95.9,65.3,39.77,0.0,0,0,0,6.9,5.9,256.0,1001.1,88.4,2.2,14.4,0.1,0,,Partially cloudy,partly-cloudy-night,"42182099999,VIDP,42181099999",False
2024-06-01 21:00:00,91.4,90.1,57.2,31.76,0.0,0,0,0,14.1,5.8,250.0,1004.0,88.9,1.9,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,"VIDP,42181099999",False
