name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"delhi, india",2024-01-01T00:00:00,53.6,53.6,48.2,81.88,0,0,,0,0,5.1,2.2,40,1018,0,0.6,0,0,0,,Clear,fog,"VIDP,42181099999"
"delhi, india",2024-01-01T01:00:00,51.8,51.8,48.2,87.48,0,0,,0,0,2.9,0,0,1018,0,0.6,0,0,0,,Clear,fog,"VIDP,42181099999"
"delhi, india",2024-01-01T02:00:00,52.1,52.1,49.6,91.3,0,0,,0,0,4,0,0,1018.9,1.2,0.6,0,0,0,,Clear,fog,"42182099999,VIDP,42181099999"
"delhi, india",2024-01-01T03:00:00,53.6,53.6,50,87.57,0,0,,0,0,5.4,0,0,1018,0,0.6,0,0,0,,Clear,fog,"VIDP,42181099999"
"delhi, india",2024-01-01T04:00:00,53.6,53.6,50,87.57,0,0,,0,0,5.8,0,0,1018,0,0.6,0,0,0,,Clear,fog,"VIDP,42181099999"
"delhi, india",2024-01-01T05:00:00,52.1,52.1,49.8,91.82,0,0,,0,0,5.8,1.3,264,1018.8,99.4,0.6,0,0,0,,Overcast,fog,"42182099999,VIDP,42181099999"
"delhi, india",2024-01-01T06:00:00,51.8,51.8,48.2,87.48,0,0,,0,0,5.8,0,0,1019,0,0.6,0,0,0,,Clear,fog,"VIDP,42181099999"
"delhi, india",2024-01-01T07:00:00,51.8,51.8,48.2,87.48,0,0,,0,0,6.3,4.7,260,1019,0,0.6,0,0,0,,Clear,fog,"VIDP,42181099999"
"delhi, india",2024-01-01T08:00:00,51.8,51.8,47.6,85.5,0,0,,0,0,6.3,3.3,316,1020.5,100,0.7,1.6,0,0,,Overcast,fog,"42176099999,VIDP,42139099999,42181099999"
"delhi, india",2024-01-01T09:00:00,51.8,51.8,48.2,87.48,0,0,,0,0,7.8,3.4,30,1020,0,0.6,81.6,0.3,1,,Clear,fog,"VIDP,42181099999"
